topic_id,topic,requirements,rq_objective,implementation,verification,evidence,dissertation_location,supported_claim,claim_boundary,status
T01,Dataset and frozen scientific scope,OT-R01; OT-R02; OT-R18; OT-R46; OT-R49,SYNC_FROM_FROZEN_RESEARCH_SPEC,artifacts/model/label_mapping.json; artifacts/governance/final_claims_freeze.json; docs/final_implementation_record.md,tests/test_frozen_resources.py; tests/test_governance.py,evidence/01_verification/frozen_scientific_contract.txt; docs/final_requirements_traceability_matrix.md,Chapter 3 — Methodology; Chapter 4 — System Design and Implementation; Chapter 6 — Discussion and Limitations,The working application implements the frozen single-label 50-category synthetic ICD-10 research setting.,Does not establish performance on genuine NHS free text or clinical deployment readiness.,AVAILABLE
T02,Frozen BioClinicalBERT model,OT-R01–OT-R06,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/frozen_resources.py; src/operational_coding_twin/inference.py,tests/test_frozen_resources.py; tests/test_inference.py,artifacts/model/model.safetensors; artifacts/model/config.json; artifacts/model/tokenizer.json; artifacts/model/tokenizer_config.json; artifacts/model/label_mapping.json; evidence/03_fresh_inference/E07_fresh_prediction.png,Chapter 3 — Predictive methodology; Chapter 4 — Model integration; Chapter 5 — Experimental results,Fresh synthetic cases use the frozen canonical seed-42 BioClinicalBERT model.,Application screenshots do not establish predictive superiority or external validity.,AVAILABLE
T03,Calibration and model confidence,OT-R07–OT-R09; OT-R29; OT-R30,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/config.py; src/operational_coding_twin/frozen_resources.py; src/operational_coding_twin/inference.py,tests/test_frozen_resources.py; tests/test_inference.py; tests/test_governance.py,artifacts/calibration/temperature_scaling.json; evidence/02_replay/E03_replay_prediction.png; evidence/03_fresh_inference/E07_fresh_prediction.png,Chapter 3 — Calibration methodology; Chapter 4 — Confidence integration; Chapter 5 — Calibration evaluation; Chapter 6 — Uncertainty limitations,Runtime logits are transformed using the frozen validation-fitted scalar temperature before probabilities are displayed.,"Calibrated confidence is descriptive model uncertainty, not a probability of coding correctness, billing correctness or clinical safety.",AVAILABLE
T04,Fresh synthetic inference,OT-R01–OT-R09; OT-R43; OT-R46,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/inference.py; app/streamlit_app.py,tests/test_inference.py,evidence/03_fresh_inference/E07_fresh_prediction.png,Chapter 4 — Fresh synthetic-case inference,A new synthetic clinical note can be processed through frozen BioClinicalBERT inference and temperature calibration.,"This is operational implementation evidence, not evidence of performance on authentic NHS clinical notes.",AVAILABLE
T05,Frozen validation replay,OT-R15–OT-R18; OT-R45; OT-R47; OT-R48,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/frozen_resources.py; src/operational_coding_twin/inference.py; src/operational_coding_twin/explainability.py; app/streamlit_app.py,tests/test_frozen_resources.py; tests/test_inference.py; tests/test_explainability.py,artifacts/replay/deterministic_validation_sample_100.csv; artifacts/replay/validation_calibrated_probabilities.npy; artifacts/replay/layer_integrated_gradients_cases.csv; evidence/02_replay/E02_replay_case_selected.png; evidence/02_replay/E03_replay_prediction.png; evidence/02_replay/E04_replay_xai.png,Chapter 4 — Deterministic operational replay; Appendix — Demonstration protocol,Replay reconstructs workflow behaviour using frozen Phase 8B validation artefacts.,Replay is not a second experiment and does not constitute Phase 9 test evaluation.,AVAILABLE
T06,Explainable AI,OT-R10–OT-R14; OT-R17,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/explainability.py,tests/test_explainability.py,artifacts/replay/layer_integrated_gradients_cases.csv; evidence/02_replay/E04_replay_xai.png; evidence/03_fresh_inference/E08_fresh_lig.png,Chapter 3 — Explainability methodology; Chapter 4 — XAI implementation; Chapter 5 — XAI evaluation; Chapter 6 — Interpretability limitations,The prototype integrates predicted-class Layer Integrated Gradients using 50 steps and the frozen PAD-content baseline.,Token attribution describes model behaviour; it is not causal clinical evidence.,AVAILABLE
T07,Operational digital-twin state machine,OT-R19–OT-R35,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/digital_twin.py,tests/test_digital_twin.py; tests/test_governance.py,docs/final_implementation_record.md; evidence/04_human_review/E05_awaiting_human_review.png; evidence/04_human_review/E06_accepted_completed.png; evidence/04_human_review/E09_amended_completed.png,Chapter 4 — Operational digital-twin architecture,Each coding case has an explicit persistent operational state and controlled state transitions.,"The prototype is an operational workflow twin, not a physiological patient digital twin.",AVAILABLE
T08,Mandatory human review,OT-R21; OT-R25; OT-R26; OT-R29; OT-R30; OT-R31,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/digital_twin.py; app/streamlit_app.py,tests/test_digital_twin.py; tests/test_governance.py,evidence/04_human_review/E05_awaiting_human_review.png; evidence/04_human_review/E06_accepted_completed.png; evidence/04_human_review/E09_amended_completed.png,Chapter 4 — Human-in-the-loop workflow; Chapter 6 — Governance discussion,Every model recommendation requires an explicit human-review decision before completion.,The implementation does not establish that human review improves real coder productivity or accuracy.,AVAILABLE
T09,"Accept, Reject and Amend",OT-R22–OT-R28; OT-R31,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/digital_twin.py; app/streamlit_app.py,tests/test_digital_twin.py,evidence/04_human_review/E06_accepted_completed.png; evidence/04_human_review/E09_amended_completed.png,Chapter 4 — Human disposition workflow,"The reviewer retains authority to accept, reject or amend the model recommendation.",Human authority is implemented structurally; no claim of improved clinical outcome is made.,AVAILABLE
T10,Case persistence,OT-R36–OT-R38,SYNC_FROM_FROZEN_RESEARCH_SPEC,src/operational_coding_twin/case_store.py; src/operational_coding_twin/digital_twin.py,tests/test_foundation.py; tests/test_digital_twin.py,runtime/cases/,Chapter 4 — Persistent case state,Operational case state persists independently of transient Streamlit interactions.,Local JSON persistence is a research-prototype storage mechanism rather than production EHR persistence.,AVAILABLE
